SamplePopID,PopName,Average SNP count,medianFST,medianFSTregion,MedianFSTAdjustedNeighbors,numberofNeighborswithin1000km,harmonicMean,harmonicMean_5perc,harmonicMean_95perc
267,Oromo,595908,0.07582115,0.0523225,0.006013101,3,5121.5001,1638.102,2.22E+05
268,Oroqen,595512,0.09900175,0.0895166,0.006409095,8,5306.2455,3051.199,1.23E+04
269,Ossetian,596572,0.04202655,0.0139205,0.006496897,37,5190.6357,3603.2697,8.66E+03
270,Ossetian_Southern,588980,0.0463682,0.0167568,0.008347026,37,4527.7641,2615.2114,8.94E+03
271,Palestinian,596100,0.04828225,0.0190238,0.004966838,15,5583.8548,4421.2008,7.23E+03
272,Pathan,595023.5,0.03720075,0.0175829,0.008285241,13,28154.7363,17447.9122,5.45E+04
273,Peru_Quechua,595538,0.1160415,0.02941005,0.011386905,4,6490.4567,3474.9654,1.58E+04
274,Piapoco,595330,0.1448735,0.04183535,0.031507532,2,957.8375,695.514,1.48E+03
275,Pima,596413.5,0.1676285,0.07409215,NA,1,706.846,615.1734,8.46E+02
276,Polish_Lublin,590259.5,0.04856095,0.0154582,0.000952048,18,34642.4428,15211.8402,2.17E+05
277,Polish_Poznan,590196,0.04978075,0.0165581,0.001438307,14,55845.1083,34958.5163,1.10E+05
278,Punjabi,596338,0.04527345,0.0372978,0.013113176,14,4699.4654,2917.4375,9.03E+03
279,Puno,596219,0.1538615,0.04694155,0.01645085,3,1888.7863,1080.354,4.49E+03
280,Ranongga,596082,0.1253905,0.0488809,0.046816787,29,2510.4226,1495.7736,6.84E+03
281,Rennell_and_Bellona,596328,0.160333,0.123102,NA,0,267.8737,185.6971,3.95E+02
282,Romanian,590195,0.0489904,0.0137511,0.003672045,23,5938.4954,3719.4154,1.30E+04
283,Russian,596334,0.0428434,0.0173821,0.004129785,23,16138.5539,9780.4067,3.32E+04
284,Russian_Archangelsk_Krasnoborsky,588248,0.04310845,0.0171327,0.005248877,21,9129.6623,4191.3459,4.49E+04
285,Russian_Archangelsk_Leshukonsky,588254,0.0460918,0.0247387,0.010109522,8,1690.7279,884.0924,4.35E+03
286,Russian_Archangelsk_Pinezhsky,586828,0.0471717,0.0223754,0.009277154,11,2285.5351,1275.6357,6.94E+03
287,Russian_Kaluga,588218,0.0471501,0.0168027,0.002852355,22,75964.7891,5472.4696,1.37E+09
288,Russian_Ryazan_Mihailovsky,587157,0.0451491,0.015478,0.00284832,25,8386.7893,4130.4614,6.45E+04
289,Russian_Ryazan_Spassk_Ryazansky,587992.5,0.04474645,0.0163256,0.004614001,25,15830.6695,7187.6483,6.90E+04
290,Russian_Smolensk,588057,0.04847675,0.0169624,0.002633,22,19698.0613,10960.4884,5.88E+04
291,Saharawi,595851,0.059142,0.09805795,0.013730478,2,2969.4501,1804.0471,6.01E+03
292,San,593235,0.2231115,0.104091,NA,0,1596.1024,791.0386,4.49E+03
293,Sandawe,596373,0.1050025,0.04101935,0.022791999,7,2221.6031,1607.8734,3.56E+03
294,Santa_Cruz,596552,0.1474985,0.0385596,0.036699042,3,1854.6191,1197.1116,3.14E+03
295,Saposa,588177.5,0.129198,0.0385596,0.036479428,30,1748.245,1059.659,3.33E+03
296,Sardinian,595724,0.06284795,0.0258709,0.010264591,21,7938.4659,6331.3968,1.07E+04
297,Saudi,596568,0.0486562,0.0235181,0.008245756,3,10638.1835,6281.8806,2.30E+04
298,Savo,596554,0.1190005,0.0353644,0.024247524,13,4188.6527,2497.9814,1.01E+04
299,Scottish_Borders,589319,0.04947345,0.0155054,0.001264647,17,19311.2391,7234.0436,7.76E+05
300,Scottish_Dumfries_Galloway,589915,0.0497958,0.0152303,0.001173415,17,11982.3582,6618.439,4.21E+04
301,Scottish_Fife,588944.5,0.0492837,0.014883,0.000633286,16,46967.132,18939.0995,2.54E+05
302,Scottish_Grampian,589776,0.0491159,0.0151235,0.000304074,15,16402.2537,9631.9321,4.50E+04
303,Scottish_Highlands,589520,0.0500041,0.0155965,0.000659594,15,12593.7807,4217.1434,1.57E+06
304,Scottish_Shetlandic,589781.5,0.0511103,0.0171908,0.001414167,11,9392.9699,4956.6043,2.51E+04
305,Selkup,596176,0.06448535,0.0559163,0.013991768,5,1497.0307,1001.6201,2.45E+03
306,Selkup_Farkovo,589783.5,0.0790151,0.0704976,0.01368219,4,643.9441,452.614,9.38E+02
307,Selkup_Turukhansk,586388.5,0.0736528,0.0658619,0.012378334,4,747.6199,446.5238,1.50E+03
308,Semende,595507.5,0.1151645,0.02503475,NA,1,1476.6171,1008.9305,2.25E+03
309,She,596290,0.1103545,0.10135,NA,0,1897.3525,1251.3769,3.53E+03
310,Shor_Khakassia,589045,0.0640173,0.0567971,0.026128305,17,702.4313,462.2575,1.21E+03
311,Shor_Mountain,588934,0.0602153,0.0525575,0.020279691,17,888.1875,584.0009,1.58E+03
312,Shua,594946,0.149662,0.0372992,0.027069759,19,1869.6699,1286.927,3.03E+03
313,Sicilian_East,596195,0.0481267,0.0132236,0.003289606,14,NA,NA,NA
314,Sicilian_West,595849,0.0492755,0.014327,0.00490585,16,8699.232,4467.0653,6.38E+04
315,Sindhi,594586.5,0.03769895,0.0210668,0.004056558,10,25657.2653,15227.5126,5.26E+04
316,Somali,595908,0.0760436,0.05377545,NA,0,11804.9276,7279.4895,2.83E+04
317,Spanish_Aragon,596371,0.0522001,0.016056,0.002203497,18,10694.7133,4281.7569,1.36E+05
318,Spanish_Basque,595844,0.0612615,0.0238382,0.007091505,21,3103.705,1874.5355,4.86E+03
319,Spanish_Cantabria,596273,0.0509861,0.0153404,0.001911169,18,6515.7029,3201.8218,1.97E+04
320,Spanish_CastillaLaMancha,596273,0.05099025,0.0154503,0.001295546,17,6543.6669,4637.7082,1.56E+04
321,Spanish_CastillaLeon,596310,0.0499734,0.0147321,0.002449111,18,22056.8287,12174.2883,7.91E+04
322,Spanish_Cataluna,596348,0.05129875,0.0156422,0.002738006,23,15196.2619,4299.8906,1.97E+06
323,Spanish_Extremadura,596382,0.0497824,0.0147894,0.001271044,15,NA,NA,NA
324,Spanish_Galicia,596134,0.04975225,0.0148558,0.002396691,16,23029.8242,23029.8242,2.30E+04
325,Spanish_Murcia,596496,0.04895865,0.0145845,0.001873192,19,24063.4992,8375.2872,3.22E+05
326,Spanish_PaisVasco,596323,0.0553154,0.0189562,0.00325618,18,5277.618,2449.5709,1.67E+04
327,Spanish_Valencia,596257,0.04973255,0.0147401,0.003007639,21,8496.8658,7162.9212,1.01E+04
328,Sulka_Ganai,590549.5,0.149816,0.0409197,0.041033913,29,1643.5278,1089.5334,2.97E+03
329,Sulka_Watwat,590637,0.152058,0.0445217,0.044607782,29,1520.4443,1118.1188,2.13E+03
330,Surui,590434,0.218539,0.115367,NA,0,427.5319,378.1685,4.72E+02
331,Syrian,596533.5,0.0465843,0.0177664,0.004946184,27,6024.9698,3263.9874,1.82E+04
332,Taa_East,595235,0.207873,0.0830594,0.025389569,19,1209.0866,800.7002,2.20E+03
333,Taa_North,596055,0.2096365,0.0932249,0.028331705,20,1336.8032,827.2287,2.50E+03
334,Taa_West,595761,0.207894,0.08771435,0.026016026,20,2167.4087,1433.1481,3.74E+03
335,Tabasaran,588840.5,0.0465796,0.0151001,0.008849354,39,7790.6931,5355.8903,1.34E+04
336,Tagalog,590359,0.0917822,0.01472645,0.023497062,4,9382.7101,3326.3229,1.51E+05
337,Tajik,596536.5,0.03827875,0.0160022,0.010123865,13,10017.7504,4901.8175,3.81E+04
338,Tajik_Lowland_Kulyab,588972,0.03369155,0.0130392,0.007596071,14,11422.9978,5156.9544,6.75E+04
339,Tajik_Mountain,589038,0.035696,0.0169827,0.011005707,13,3082.2025,1959.5305,5.18E+03
340,Tatar_Kazan,588471,0.0335092,0.0141871,0.004772492,22,12493.0298,7241.7027,2.79E+04
341,Tatar_Mishar,588859,0.03804115,0.0158838,0.006159659,21,7945.9166,4828.7221,1.45E+04
342,Tatar_Siberian_Ishtyak_Toguz,589163,0.03369055,0.0290644,0.005992191,12,5092.2641,2245.3449,2.09E+04
343,Tatar_Siberian_Iskero_Tobolsk,589288,0.03530015,0.0309123,0.007131616,12,3646.2169,1810.742,1.30E+04
344,Tatar_Siberian_Yalutorovsky,588914.5,0.0350758,0.0289877,0.010973817,15,4811.3252,2963.284,1.04E+04
345,Tatar_Siberian_Zabolotniye,588857,0.0521401,0.0464892,0.020209014,15,1171.2092,801.5843,1.98E+03
346,Teop,588614,0.140338,0.0469064,0.044545659,30,2447.1782,1652.992,3.71E+03
347,Thai,596428,0.083508,0.0189917,0.00334835,6,18287.4812,7027.3673,3.67E+05
348,Tigak,590559,0.1369485,0.0394165,0.040437126,28,833.1916,652.8822,1.12E+03
349,Tikopia,596200.5,0.1333615,0.0910533,NA,1,454.6466,316.6019,7.07E+02
350,Tofalar,590254,0.0986458,0.0875005,0.031283894,19,652.0748,421.6423,1.04E+03
351,Tolai,590500.5,0.1456395,0.0355,0.036272819,28,2222.5511,1569.7712,3.15E+03
352,Tolai_Kabakada,590377,0.1434385,0.0401225,0.0396371,29,1819.746,1119.6503,3.44E+03
353,Tongan,596034,0.1190425,0.0779959,NA,0,1271.6437,866.9586,1.93E+03
354,Tshwa,594599.5,0.1626905,0.03979265,0.021714492,18,1941.6671,1195.9969,3.79E+03
355,Tswana,595937,0.157354,0.0398363,0.039797677,16,4742.6433,1854.9223,5.70E+04
356,Tu,596264,0.08934005,0.0794179,NA,1,18300.1314,7858.2246,9.44E+04
357,Tubalar,596287,0.04828235,0.043009,0.016650705,19,1221.4687,987.4147,1.55E+03
358,Tubalar_2,585146,0.0561178,0.0499812,0.021483222,17,956.7761,592.1899,1.85E+03
359,Tujia,596117.5,0.1037875,0.0946887,0.004330321,7,40146.7584,18110.7388,1.94E+05
360,Tunisian,596048,0.0494083,0.0256851,0.013363904,16,19033.252,8498.5958,7.22E+04
361,Turkish_Adana,597126,0.04161225,0.0123668,0.00448799,36,33133.1595,13902.3228,6.64E+05
362,Turkish_Aydin,596725.5,0.0377962,0.0103016,0.00387781,22,31706.1487,13766.4957,2.31E+05
363,Turkish_Balikesir,596362,0.04137385,0.0134934,0.006156025,19,3905.1175,2825.1196,5.89E+03
364,Turkish_Istanbul,597008,0.0401057,0.0106998,0.003756267,23,42985.887,13954.1512,2.68E+06
365,Turkish_Kayseri,596785,0.0416546,0.0121355,0.003869319,42,43448.4705,21689.363,2.57E+05
366,Turkish_Trabzon,597007,0.0524733,0.0187774,0.008354875,46,3867.6971,2694.9641,6.12E+03
367,Turkmen,596248,0.02863175,0.0195447,0.01401007,13,5539.9476,2724.5583,1.86E+04
368,Tuscan,596614,0.05101345,0.0146968,0.003732805,20,42791.9606,23982.6043,1.25E+05
369,Tuvinian,595718,0.07920795,0.0683644,0.011336742,18,3296.673,1899.0416,7.29E+03
370,Tuvinian_2,588960,0.07831365,0.0673512,0.010331958,19,2250.7828,1389.5055,4.58E+03
371,Udmurt_Northern,589193,0.0391707,0.0263076,0.015395529,23,1677.9801,1041.1943,3.25E+03
372,Udmurt_Southern,588975,0.0400311,0.0272737,0.015847423,23,1480.0921,939.7055,3.00E+03
373,Ukrainian_East,596119,0.047537,0.0157243,0.002171392,18,32695.3716,5647.3894,3.18E+07
374,Ukrainian_Sumskaya,588833,0.0485822,0.0155207,0.003287167,22,12048.494,6765.1557,2.49E+04
375,Ulchi,596044,0.101778,0.0928525,0.009199369,4,3835.1302,2803.6044,5.36E+03
376,Uygur,595793,0.03494935,0.0304722,0.011865462,8,54013.1641,25709.1752,4.25E+05
377,Uzbek,594735.5,0.0262689,0.0231461,0.008422232,13,13085.9638,6217.2534,3.52E+04
378,Uzbek_Khorezm,588718,0.0278966,0.0192158,0.006509126,8,6612.4259,3986.305,1.50E+04
379,Uzbek_Tashkent,589020,0.02585215,0.0199319,0.007935689,13,24692.5725,12014.3904,9.25E+04
380,Vella_Lavella,596369,0.124486,0.0446739,0.042044734,29,4696.0812,2513.7972,2.08E+04
381,Veps,589230.5,0.04911735,0.0243489,0.008887636,18,2061.2131,1500.1002,3.30E+03
382,Vietnamese_North,590412,0.0996149,0.01896415,0.004330321,7,18748.9973,6048.0546,1.53E+05
383,Vietnamese_South,590413,0.100761,0.01957955,0.003519169,2,10884.1527,4404.0073,6.96E+04
384,Vishwabrahmin,594607,0.04997845,0.0456605,0.008145544,3,14665.2986,8145.4195,4.52E+04
385,Wambo,594376,0.1546835,0.0514432,0.05423409,18,5605.9452,2767.4082,2.41E+04
386,Wayku,596511.5,0.155217,0.04442435,0.041199241,8,789.1735,631.1006,1.04E+03
387,Xavante,588477,0.1812185,0.07378125,NA,0,389.6822,272.7637,6.45E+02
388,Xibo,596401,0.0897479,0.0797514,0.015848655,8,12573.1325,6066.866,6.62E+04
389,Xuun,594727,0.189002,0.0711906,0.023507406,19,2967.621,1981.4144,4.76E+03
390,Yakut,596029,0.09113775,0.0798383,0.011406951,3,1298.133,1070.7015,1.59E+03
391,Yaquis,596401,0.0957358,0.0392266,NA,1,3299.6941,2065.1139,7.86E+03
392,Yemeni,596609,0.0445802,0.0240997,0.014218534,4,6998.1154,5397.3283,1.06E+04
393,Yi,596684,0.1018105,0.0926789,0.010002295,7,10795.6662,6128.6659,1.92E+04
394,Yoruba,594413,0.1446105,0.05454045,0.007139288,3,241486.4893,136979.5931,5.72E+05
395,Yukagir_Forest,596963,0.0382306,0.0322461,0.050555129,3,2722.2308,1481.6463,6.79E+03
396,Yukagir_Tundra,596451,0.08594825,0.0749202,0.018823424,2,2529.3013,2013.2192,3.12E+03
397,Zapotec,595862.5,0.133775,0.03376185,0.012742923,4,3860.1139,2282.2869,7.36E+03
