SamplePopID,PopName,Average SNP count,medianFST,medianFSTregion,MedianFSTAdjustedNeighbors,numberofNeighborswithin1000km,harmonicMean,harmonicMean_5perc,harmonicMean_95perc
61,Chukchi,596170,0.1095675,0.100533,NA,0,843.5287,726.0712,1.02E+03
62,Chukchi_Ayon,597089,0.1004815,0.0914317,0.021068717,4,815.4065,638.3495,1.08E+03
63,Chuvash,596454,0.0350647,0.0202777,0.010406173,25,3407.6025,2221.0104,5.77E+03
64,Chuvash_Tatarstan,589400.5,0.03868765,0.0195608,0.009019779,23,3883.3937,1952.7904,9.60E+03
65,Circassian,588791,0.04116875,0.0127289,0.006148868,39,10965.6431,6304.905,2.59E+04
66,Cocama,596410,0.1407775,0.0348618,0.030747401,7,1730.3018,1318.3708,2.55E+03
67,Cree,596247.5,0.07690005,0.052602,NA,0,1970.8758,1405.7806,3.00E+03
68,Croatian,595538.5,0.04930905,0.0137465,0.003182275,23,29509.905,11372.2277,4.03E+05
69,Cusco2,596425,0.09675605,0.03095845,0.016153976,4,6478.388,3301.3997,1.86E+04
70,Cypriot,596390.5,0.0501173,0.016282,0.004192725,22,11054.242,4619.9987,1.58E+05
71,Czech,596160,0.0488023,0.0146625,0.00149105,15,43991.1776,21994.3344,1.67E+05
72,Dai,596304,0.1069695,0.0977972,0.009038342,6,9058.617,5180.2991,1.87E+04
73,Damara,595145,0.1567335,0.05916935,0.061084175,17,1126.8298,879.157,1.43E+03
74,Darginian,589083,0.05149505,0.0213049,0.014456102,38,2211.8377,1161.3877,5.70E+03
75,Daur,595156,0.0965232,0.0869152,0.00611366,4,5694.592,3089.8917,1.64E+04
76,Dinka,594160.5,0.1436425,0.0535464,NA,1,14675.9769,6744.7077,5.58E+04
77,Druze,595536,0.05271875,0.0203902,0.008584588,15,2672.453,2147.9967,3.44E+03
78,Dungan,589077,0.07939695,0.0687433,0.037934643,13,17854.5079,12020.045,3.29E+04
79,Dusun,590464.5,0.1146395,0.024265,0.025721972,2,1226.445,929.1337,1.83E+03
80,Egyptian1,596723,0.04624555,0.1097735,0.005732616,15,18454.9193,9248.7631,7.68E+04
81,Egyptian2,596500,0.04643645,0.104756,0.004599862,13,NA,NA,NA
82,English_Cornwall,596301,0.0508932,0.0147481,0.001704922,22,29674.6446,10181.673,2.99E+09
83,English_Kent,596277,0.04996135,0.0142126,0.001165607,25,11150.4243,4930.9516,5.28E+04
84,Eskimo_ChaplinSireniki,596481,0.0988048,0.089665,0.013071547,2,906.6619,533.9091,2.56E+03
85,Eskimo_Naukan,596480,0.1044575,0.0967728,0.022485269,3,833.2236,657.1091,1.08E+03
86,Eskimo_Sireniki,595644.5,0.1143775,0.10621,NA,0,1013.5431,677.1203,1.79E+03
87,Estonian,596680.5,0.0495937,0.01992,0.002140713,13,15246.6611,7261.6712,6.41E+04
88,Even,596617,0.0564568,0.0474481,0.012741731,4,3292.0731,1726.9809,8.94E+03
89,Evenk_FarEast,588869,0.075844,0.064919,0.006512559,5,4833.8944,2069.208,4.91E+04
90,Evenk_Transbaikal,586078,0.09584285,0.0849873,0.016380726,6,1513.8092,998.5766,2.66E+03
91,Ezid,585272,0.0466253,0.0172823,0.00884338,39,5518.8911,2900.4638,1.41E+04
92,Finnish,596498,0.04614935,0.0198221,0.005171528,10,4838.8776,3412.4179,6.77E+03
93,French_Central,595526,0.04925865,0.0140044,0.001587306,21,390006.3698,141348.3465,3.86E+06
94,French_East,588419,0.0494671,0.0135719,0.001651714,20,54368.6999,27658.4483,4.90E+05
95,French_Northwest,588426.5,0.04930895,0.0138989,0.002268354,25,627891.2191,128153.8941,2.17E+07
96,French_South,596028,0.05544755,0.0186998,0.004184236,22,5275.0062,2737.3332,1.36E+04
97,French_West,589222.5,0.05039865,0.0159384,0.001558415,23,73737.094,37465.2921,3.91E+05
98,Gagauz,587809,0.0472002,0.0127894,0.00325641,23,13524.0131,6641.2069,3.11E+04
99,Gambian,595820,0.1480715,0.0563194,NA,0,5266.0753,1614.7838,3.55E+04
100,Gana,596089,0.178396,0.05318365,0.021841974,19,1787.4241,1204.8719,3.04E+03
101,Georgian,596146,0.05244445,0.0177467,0.007089778,38,21513.4881,11149.2428,5.43E+04
102,Georgian_Imeretins,588742,0.05231455,0.0192988,0.008566248,38,6362.9378,2761.4515,2.55E+04
103,Georgian_Laz,587365,0.0492828,0.0170455,0.00599623,45,14431.3632,5804.7831,1.68E+05
104,German_Lipsian,589896,0.0494519,0.0147285,0.001002082,16,44162.1642,19984.658,4.97E+05
105,German_Sorb,589752,0.05065885,0.0175312,0.003400025,16,7418.914,4041.2277,1.94E+04
106,Greek_Athens,596131.5,0.0492159,0.0138835,0.003019369,15,8945.364,4223.7156,3.25E+04
107,Greek_Thessaloniki,595968,0.05058965,0.0143569,0.003182275,17,14767.9119,8773.2666,3.95E+04
108,Greek_WGA,590725.5,0.05103685,0.0156557,0.004437999,15,84471.1161,43251.7731,2.76E+05
109,Guarani,595882,0.140755,0.0327225,0.039874457,2,2236.7083,1280.293,5.86E+03
110,Guarani_GN,590305,0.139911,0.0427295,0.03073239,2,727.5675,537.3217,1.02E+03
111,Guarani_KW,590124,0.1735525,0.0646099,0.041946625,2,390.4902,326.3861,4.71E+02
112,Gui,596042,0.188627,0.0718096,0.020342077,20,1602.3699,1177.3044,2.42E+03
113,GujaratiA,596482,0.0394316,0.0231541,0.004754276,7,9447.7619,3406.6972,2.68E+05
114,GujaratiB,596934,0.0412972,0.027888,0.006053889,7,5201.6104,2446.2857,2.03E+04
115,GujaratiC,596912,0.0443677,0.0336695,0.005791336,7,5360.228,3609.0162,8.83E+03
116,Hadza,596532,0.1512915,0.06818965,0.049420463,7,629.8124,524.2588,7.80E+02
117,Hadza1,584315,0.170426,0.08918195,0.0800965,7,414.6212,278.9211,7.14E+02
118,Haiom,594349,0.16114,0.0469221,0.027510291,18,2100.162,1238.7183,4.58E+03
119,Han_HGDP,596300,0.106341,0.0988864,0.002487151,3,373345.6022,225004.0261,8.78E+05
120,Han-NChina,596490,0.0993521,0.089867,0.002487151,3,35779.9269,13387.6697,3.13E+05
121,Hazara,595131,0.03601995,0.0321691,0.018766494,13,5595.9229,3655.5478,9.74E+03
122,Hezhen,596449,0.100461,0.0908634,0.007372038,4,4571.3145,2981.2048,7.89E+03
123,Himba,594569,0.159934,0.05544015,0.066719785,12,1478.5198,879.0081,3.37E+03
124,Hoan,594822,0.2043385,0.0805558,0.02800734,19,1066.3824,785.1017,1.44E+03
125,Huancas,596534,0.1208885,0.04254685,0.037748229,6,1030.6331,732.1988,1.49E+03
126,Hungarian1,596228,0.0475966,0.0131679,0.001652775,20,71059.6304,31317.8181,2.39E+05
127,Hungarian2,596835,0.047009,0.0126452,0.001778015,20,55921.7822,24175.2878,1.15E+05
128,Icelandic,596125,0.0518279,0.0184521,NA,0,7403.6449,4619.4237,1.39E+04
129,Inga,596368,0.116503,0.0349059,0.035073357,7,2056.5776,1327.6432,3.20E+03
130,Ingushian,588929,0.0468364,0.0164645,0.009088474,36,3327.1083,2184.2315,5.44E+03
131,Iran_Non-Zoroastrian_Fars,589618,0.0417506,0.0134391,0.003082493,7,109758.6869,50289.3127,7.82E+05
132,Iran_Zoroastrian,588997,0.0577726,0.0268028,0.01577447,7,1091.0261,994.7315,1.19E+03
133,Iranian_Bandari,590351,0.04034495,0.0183576,0.003958536,4,5607.0136,3240.4651,1.40E+04
134,Iranian_Lor,589898.5,0.04496515,0.0157744,0.006247803,18,11512.3877,5984.039,3.08E+04
135,Iranian_Mazandarani,589831.5,0.0461936,0.016634,0.007237728,25,22669.2967,9026.7933,2.30E+05
136,Iranian_Persian,588895,0.04197175,0.0144798,0.003872095,7,74649.7506,33194.8972,1.12E+06
137,Irish_Connacht,590613.5,0.0506137,0.0163614,0.000765116,15,9977.7153,4371.3744,5.90E+04
138,Irish_Cork_Kerry,590101,0.04984345,0.0157696,0.000769776,14,10340.6191,4221.767,6.55E+04
139,Irish_Leinster,589974.5,0.0492506,0.0151592,8.76E-05,15,12148.1148,5300.5028,7.63E+04
140,Irish_Munster,590370,0.0497742,0.0155502,0.000545742,15,16039.5218,6920.2321,1.05E+05
141,Irish_Ulster,590136.5,0.04956075,0.0159151,0.000627688,16,10330.0146,6392.2437,3.11E+04
142,Itelmen,595702,0.122167,0.111667,NA,0,1206.6619,762.0519,2.48E+03
143,Japanese,595879,0.106712,0.0990713,NA,1,121656.9487,77532.1659,3.34E+05
144,Jew_Cochin,595684,0.043817,0.0289258,0.018230045,2,1601.7511,932.5693,3.72E+03
145,Jew_Ethiopian,595346,0.06306215,0.0630637,0.020860571,5,5972.5423,2851.0439,2.20E+04
146,Jew_Georgian,596759,0.0485352,0.0153049,0.008237667,40,3685.4321,2044.5708,7.99E+03
147,Jew_Iraqi,596315,0.0514664,0.019491,0.006649501,24,4990.9923,2968.0177,1.10E+04
148,Jew_Libyan,596083,0.0561107,0.137336,0.014879452,9,1663.667,1285.3124,2.33E+03
149,Jew_Moroccan,596487,0.0518148,0.135009,0.008805968,11,3483.7638,2296.8584,5.39E+03
150,Jew_Tunisian,596392,0.0562199,0.1374625,0.012335042,16,2048.0325,1310.8235,3.83E+03
151,Jew_Turkish,594701,0.04948305,0.0155709,0.004477337,23,14559.2317,8018.8839,5.41E+04
152,Jew_Yemenite,595854,0.0563922,0.0296063,0.023498792,4,2494.8797,1631.892,4.76E+03
153,Jordanian,596513,0.0423711,0.0171029,0.003071213,15,22799.2039,9571.6871,1.71E+05
154,Ju_hoan_North,595003,0.220911,0.1056915,NA,0,1561.8598,1151.103,2.20E+03
155,Ju_hoan_South,595167,0.211309,0.09433355,0.029805093,20,1788.367,1182.0858,3.37E+03
156,Kabardinian,588346,0.03916585,0.0105679,0.005136095,37,23140.1165,11720.4973,9.29E+04
157,Kaitag,589139.5,0.048483,0.0176044,0.01112071,39,4143.3866,2248.9662,1.72E+04
158,Kalash,594703,0.0665421,0.045452,0.035354563,13,573.4167,421.8341,8.33E+02
159,Kalmyk,596573,0.0718589,0.0609321,0.07206829,40,16794.6279,9268.1552,4.64E+04
160,Kankanaey,590329,0.136881,0.04075335,0.036532269,5,730.3121,577.7245,9.07E+02
161,Kaqchikel,596149,0.1317245,0.0294188,0.013249074,4,4497.2551,2599.3696,1.23E+04
162,Karachai,588819,0.04420455,0.0164189,0.009468206,37,2480.8854,1768.1006,3.78E+03
163,Karakalpak,584537,0.0356567,0.0311527,0.031863123,16,47231.493,23810.9246,1.76E+05
164,Karelian_Northern,589277,0.04812315,0.0227054,0.007911226,16,2511.8997,1481.0661,6.67E+03
165,Karelian_Southern,589210,0.04700935,0.0216528,0.005046398,17,3339.7861,2252.6934,5.43E+03
166,Karitiana,594451,0.209949,0.1038675,NA,0,481.4584,388.7864,5.83E+02
167,Kazakhs_East_Kazakhstan_Naiman,589075,0.04463875,0.0372689,0.010689889,18,13981.4352,5193.5601,9.16E+04
168,Kazakhs_Omsk_Kypchak,588904,0.04720475,0.0393279,0.012813809,12,5515.1964,1967.6148,8.42E+04
169,Ket,589505,0.084498,0.0751828,0.026512096,4,639.5446,427.0416,9.97E+02
170,Ket_Southeast,588860.5,0.07655435,0.0674325,0.01895516,6,861.3013,620.8113,1.27E+03
171,Kgalagadi,595538,0.170391,0.0433929,0.03048016,19,1335.0173,796.6865,2.70E+03
172,Khakass_Kachins,588739,0.0633221,0.0532146,0.010564951,17,2823.3428,1463.3765,8.15E+03
173,Khakass_Koibals,588926,0.0584983,0.0492819,0.010869986,17,2870.3856,1693.578,5.27E+03
