SamplePopID,populationName,samplesize,geographicRegion,dataSet.of.origin,lat,lon,location,languoidName,glottocode,curation_notes,Exclude
886,Tucuman,19,LATINO,Latino,-26.817,-65.217,Argentina,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
887,RGS,20,LATINO,Latino,-31,-54,Brazil,Brazilian Portuguese,braz1246,ADMIXED. variable native american ancestry. no family information,ADMIXED
891,Pasto,19,LATINO,Latino,1.21667,-77.283,Colombia,Pasto,past1243,automatically assigned by Robert F,ok
892,Peque,20,LATINO,Latino,7.31667,-75.833,Colombia,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
893,Medellin,20,LATINO,Latino,6.25,-75.583,Colombia,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
894,Cundinamarca,19,LATINO,Latino,4.6,-74.083,Colombia,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
901,AshkenaziJ,19,EUROPE,Jewish,31.6667,34.5667,Israel,Hebrew,hebr1245,ok,ok
902,MoroccanJ,20,MIDDLE_EAST,Jewish,31.6667,34.5667,Israel,Judeo-Moroccan Arabic,jude1265,correct by Harald,ok
903,TunisianJ,20,MIDDLE_EAST,Jewish,31.6667,34.5667,Israel,Judeo-Tunisian Arabic,jude1263,correct by Harald,ok
904,TurkishJ,20,MIDDLE_EAST,Jewish,31.6667,34.5667,Israel,Hebrew,hebr1245,exclude,exclude
1001,EastHigh-Gimi-Goroka,29,OCEANIA,PacificIslander,-6.083,145.4,NewGuinea,Gimi (Eastern Highlands),gimi1243,ok,ok
1003,Sepik,20,OCEANIA,PacificIslander,-3.583,143.333,NewGuinea,NA,NA,exclude,exclude
1004,Kove,25,OCEANIA,PacificIslander,-5.4667,148.95,NewBritain,Kove,kove1237,automatically assigned by Robert F,ok
1005,Anem-Keraiai,16,OCEANIA,PacificIslander,-5.45,148.983,NewBritain,Anem,anem1249,ok,ok
1006,Anem-Purailing,17,OCEANIA,PacificIslander,-5.45,148.984,NewBritain,Anem,anem1249,ok,ok
1007,Mangseng,20,OCEANIA,PacificIslander,-5.933,150.7,NewBritain,Mangseng,mang1403,automatically assigned by Robert F,ok
1008,Melamela,25,OCEANIA,PacificIslander,-5,151.25,NewBritain,Meramera,mera1242,automatically assigned by Robert F,ok
1009,Mengen,23,OCEANIA,PacificIslander,-5.1,151.4,NewBritain,Mengen,meng1267,automatically assigned by Robert F,ok
1010,Sulka-Ganai,22,OCEANIA,PacificIslander,-4.5,152.333,NewBritain,Sulka,sulk1246,ok,ok
1011,Sulka-Watwat,15,OCEANIA,PacificIslander,-4.483,152.3,NewBritain,Sulka,sulk1246,ok,ok
1012,Kol,20,OCEANIA,PacificIslander,-5.383,151.633,NewBritain,Kol,koll1254,automatically assigned by Robert F,ok
1013,Nakanai-Bileki,24,OCEANIA,PacificIslander,-5.75,150.8,NewBritain,Nakanai,naka1262,ok,ok
1014,Nakanai-Loso,17,OCEANIA,PacificIslander,-5.483,150.8,NewBritain,Nakanai,naka1262,ok,ok
1015,Mamusi-Kisiluvi,22,OCEANIA,PacificIslander,-5.7333,151.083,NewBritain,Mamusi,mamu1254,ok,ok
1016,Mamusi-Lingite,20,OCEANIA,PacificIslander,-5.867,151.1,NewBritain,Mamusi,mamu1254,ok,ok
1017,Ata-Uasilau,24,OCEANIA,PacificIslander,-5.683,151,NewBritain,Pele-Ata,pele1245,ok,ok
1018,Ata-Lugei,23,OCEANIA,PacificIslander,-5.6,151,NewBritain,Pele-Ata,pele1245,ok,ok
1019,Baining-Malasait,25,OCEANIA,PacificIslander,-4.467,151.9,NewBritain,Baining,bain1263,ok,ok
1020,Baining-Marabu,25,OCEANIA,PacificIslander,-4.633,152.3,NewBritain,Baining,bain1263,ok,ok
1021,Baining-Rangulit,22,OCEANIA,PacificIslander,-4.4,151.9,NewBritain,Baining,bain1263,ok,ok
1022,Tolai-Kabakada,18,OCEANIA,PacificIslander,-4.483,152.1,NewBritain,Kabakada,kaba1283,ok,ok
1023,Tolai-Vunairoto,21,OCEANIA,PacificIslander,-4.2,152.1,NewBritain,Kabakada,kaba1283,ok,ok
1024,Mussau,25,OCEANIA,PacificIslander,-1.583,149.733,Mussau,Mussau-Emira,muss1246,automatically assigned by Robert F,ok
1025,Lavongai-North,24,OCEANIA,PacificIslander,-2.433,150.35,NewHanover,Tungag,tung1290,ok,ok
1026,Lavongai-South,22,OCEANIA,PacificIslander,-2.5667,150.433,NewHanover,Tungag,tung1290,ok,ok
