SamplePopID,populationName,samplesize,geographicRegion,dataSet.of.origin,lat,lon,location,languoidName,glottocode,curation_notes,Exclude
1193,Sukuma,10,AFRICA,African,-3,33.5,Tanzania,Sukuma,suku1261,automatically assigned by Robert F,ok
1194,Gogo,13,AFRICA,African,-6,36,Tanzania,Gogo,gogo1263,automatically assigned by Robert F,ok
1195,FiomeGorowa,22,AFRICA,African,-4.3,35.8,Tanzania,Gorowa,goro1270,ok,ok
1196,Iyassa,37,AFRICA,African,2.5,9.8,Cameroon,Yasa,yasa1242,ok,ok
1197,Fang,19,AFRICA,African,2.5,13,Cameroon,Fang,fang1247,automatically assigned by Robert F,ok
1198,Mabea,13,AFRICA,African,2.9,10.3,Cameroon,Kwasio,kwas1243,automatically assigned by Robert F,ok
1199,Yambassa,17,AFRICA,African,4.8,11.3,Cameroon,Nugunu (Cameroon),nugu1242,automatically assigned by Robert F,ok
1200,SouthTikar,21,AFRICA,African,5.5,11.5,Cameroon,Tikar,tika1246,ok,ok
1201,NorthTikar,13,AFRICA,African,6.3,11.5,Cameroon,Tikar,tika1246,ok,ok
1202,Ntumu,11,AFRICA,African,2.3,10.5,Cameroon,Ntum,ntum1238,automatically assigned by Robert F,ok
1203,Massa,15,AFRICA,African,10.3,15.3,Cameroon,Masana,masa1322,automatically assigned by Robert F,ok
1204,Tupuri,22,AFRICA,African,10.3,14.8,Cameroon,Tupuri,tupu1244,automatically assigned by Robert F,ok
1205,Bulu,22,AFRICA,African,3,11,Cameroon,Bulu (Cameroon),bulu1251,correct by Harald,ok
1206,Ashanti,15,AFRICA,African,6,-1,Ghana,Asante,asan1239,ok,ok
1207,Brong,26,AFRICA,African,7.5,-2,Ghana,Abron,abro1238,automatically assigned by Robert F,ok
1209,Chicago,15,AFROEUROPEAN,African,41.8819,-87.628,USA,Standard English,stan1293,ADMIXED,ADMIXED
1210,Pittsburgh,21,AFROEUROPEAN,African,40.4417,-80,USA,Standard English,stan1293,ADMIXED,ADMIXED
1211,Baltimore,44,AFROEUROPEAN,African,39.2833,-76.617,USA,Standard English,stan1293,ADMIXED,ADMIXED
1212,NorthCarolina,18,AFROEUROPEAN,African,35.220358,-80.124253,USA,Standard English,stan1293,ADMIXED,ADMIXED
1214,MaasaiMumonyot,12,AFRICA,African,0.6,37,Kenya,Maasai,masa1300,maybe,ok
1215,MaasaiIlgwesi,21,AFRICA,African,0.3,36.8,Kenya,Maasai,masa1300,maybe,ok
1216,Samburu,18,AFRICA,African,1.5,37,Kenya,Samburu,samb1315,automatically assigned by Robert F,ok
1217,Yaaku,19,AFRICA,African,0.5,37,Kenya,Yaaku,yaak1241,automatically assigned by Robert F,ok
1219,Sambaa,18,AFRICA,African,-4.5,38.3,Tanzania,Shambala,sham1280,automatically assigned by Robert F,ok
1220,Dorobo,10,AFRICA,African,-5,37,Tanzania,Dorobo,doro1262,exclude,exclude
1223,BejaHadandawa,19,MIDDLE_EAST,African,21,36,Sudan,Hadendoa,hade1248,ok,ok
1224,Tugen,22,AFRICA,African,0.8,35.8,Kenya,Tugen,tuge1241,automatically assigned by Robert F,ok
1225,Burji,24,AFRICA,African,5.5,37.8,Ethiopia,Burji,burj1242,automatically assigned by Robert F,ok
