SamplePopID;populationName.x;heterozygosity;ooa;avgfst;avgregfst
1025;Lavongai-North;0.669291878;15553954.5224696;0.25116907;0.187268411
1026;Lavongai-South;0.668277435;15567372.6928411;0.250821673;0.205108842
1027;Tigak;0.674964248;15614698.4523589;0.242517487;0.19699668
1028;Nalik;0.672845725;15696667.8081529;0.244145576;0.086924509
1029;Notsi;0.670752499;15712728.1532057;0.244099522;0.138815415
1030;Kuot-Kabil;0.667290728;15718599.2731262;0.24844686;0.067660001
1031;Kuot-Lamalaua;0.667611667;15695149.1716596;0.253094914;0.299562364
1032;Madak;0.667129906;15719750.9125402;0.250245746;0.228790681
1033;Saposa;0.668862556;16120818.3756298;0.243944457;0.098372333
1034;Teop;0.670690866;16183933.0449651;0.243006488;0.160258678
1035;Aita;0.625437779;16175628.5223594;0.305962472;0.110326585
1037;Nasioi;0.640202548;16275455.1084339;0.277618186;0.063075491
1040;Micronesians;0.67134839;15194941.2884384;0.247200578;0.063664027
1041;Samoans;0.645551691;19850663.8656586;0.287829888;0.080179238
1042;Maoris;0.649167738;19459810.3089236;0.287803711;0.135251109
1043;Ami;0.657607229;11200387.6497218;0.262619;0.145610335
1044;Taruko;0.638304778;11200387.6497218;0.292159641;0.07767151
1101;Hadza;0.723312718;1471130.50085859;0.245385027;0.116462868
1102;Sandawe;0.755725677;1649589.00015502;0.183580397;0.082721207
1103;Iraqw;0.749270602;1487101.20929957;0.175891937;0.152601325
1104;Turu;0.755861199;1608778.47476266;0.176035884;0.173610628
1105;Mbugwe;0.7460997;1457674.71254799;0.192712585;0.165860414
1106;Rangi;0.754121759;1583703.27713305;0.177689254;0.081867659
1107;Burunge;0.748044036;1616484.8383896;0.194568724;0.123131686
1108;Maasai-Tanzania;0.755601083;1455713.56757766;0.169472045;0.222918556
1109;Akie;0.738861612;1560199.27002028;0.195386871;0.114451041
1110;Pare;0.745072172;1500670.35164505;0.196415073;0.175153012
1111;Mbugu;0.732455855;1532007.43515365;0.209589713;0.150274637
1112;Baka;0.75238656;2886039.2166961;0.229495773;0.120295159
1113;Bakola;0.750461654;3254704.54366211;0.228249091;0.132304058
1114;Bedzan;0.731140777;3022005.34683533;0.262322413;0.105300364
1115;Mvae;0.747442939;3033355.08846694;0.205488079;0.06675293
1116;Ngumba;0.746479367;3217127.40864601;0.207775476;0.066203476
1117;FulaniAdamawa;0.745222651;2775810.22624359;0.181046297;0.117368659
1118;Kanuri;0.74741697;2691124.28407489;0.188098037;0.220233568
1119;Mada;0.739498019;2710328.17443207;0.206168538;0.146757496
1120;Zime;0.749939979;2665919.77555987;0.199013336;0.136399448
1121;Ouldeme;0.737938796;2689404.45055316;0.202507525;0.146749472
1122;Giziga;0.739855061;2686905.23842933;0.200466827;0.148850755
1123;Mandara;0.74127132;2723820.46115168;0.192101765;0.184045324
1124;Baggara;0.740456271;2680258.61075568;0.186818305;0.166401308
1125;Kotoko;0.733232545;2640536.72398743;0.210861725;0.07926621
1126;Zulgo;0.733079789;2721255.56484724;0.215306682;0.124744284
1127;Bamoun;0.746719749;3109596.87241431;0.202197411;0.233450601
1128;Banen;0.743790898;3122346.27952544;0.209640685;0.165926357
1129;Bafia;0.748578852;3100503.60359168;0.201968933;0.164611919
1130;Lemande;0.742977873;3106528.62198237;0.209154992;0.182573023
1131;Batanga;0.737786463;3249607.95340812;0.219508098;0.125014072
1132;Podokwo;0.738313742;2929611.29544446;0.204823782;0.08632901
1185;Bassange;0.734807903;3654715.302676;0.214839068;0.301406622
1186;Igbo;0.746400594;3518584.30013888;0.204776184;0.110011197
1187;Igala;0.734894846;3505893.07906499;0.225621785;0.118706578
1188;Gwari;0.739247093;3486748.41886746;0.210865163;0.114755177
1189;Hausa-Nigeria;0.730876893;3381137.59900799;0.223230242;0.135233971
1190;BejaBanuamir;0.734623771;3587978.60493301;0.180899556;0.182957641
1191;Dinka;0.726164375;969273.539629263;0.227526375;0.105429109
1192;Datoga;0.752254814;1541159.2760105;0.167454473;0.122905219
1193;Sukuma;0.727095169;1453258.12130255;0.238816319;0.083056828
1194;Gogo;0.735650589;1693066.5568008;0.22551189;0.157072278
1195;FiomeGorowa;0.743794614;1511965.83495495;0.190583018;0.11855757
1196;Iyassa;0.749993902;3284187.9410486;0.195125652;0.15331903
1197;Fang;0.738462935;2939663.11380114;0.2185132;0.145398828
1198;Mabea;0.731080825;3219679.6135685;0.235433877;0.265718488
1199;Yambassa;0.733777914;3067745.92568463;0.231101782;0.148860779
1200;SouthTikar;0.74430735;3032952.2060936;0.212140175;0.076685446
1201;NorthTikar;0.728014006;3020351.76558892;0.239881389;0.142447997
1202;Ntumu;0.726483419;3214145.31401927;0.24845215;0.137860524
1203;Massa;0.727450332;2577402.51772884;0.219191734;0.192183598
1204;Tupuri;0.739218295;2632152.78282222;0.204266519;0.131917132
1205;Bulu;0.747268689;3141395.90018343;0.213902491;0.130284169
1206;Ashanti;0.731757284;4397574.25520745;0.231253483;0.117099563
1207;Brong;0.742434663;4490324.22055193;0.203941914;0.106709864
1209;Chicago;0.738375293;12344952.4838286;0.200683966;0.190466703
1210;Pittsburgh;0.747492979;11942315.3445496;0.183779542;0.089793301
1211;Baltimore;0.758264729;11779196.4327695;0.167959709;0.109285824
1212;NorthCarolina;0.745385728;12293526.2551672;0.189949362;0.119519277
1214;MaasaiMumonyot;0.727147162;950627.531831435;0.210242053;0.162867919
1215;MaasaiIlgwesi;0.739298031;987962.736064679;0.190829723;0.15787614
1216;Samburu;0.741249491;852770.163761742;0.190994397;0.079372782
1217;Yaaku;0.730164216;961530.002150768;0.210007903;0.12603059
1219;Sambaa;0.738441246;1499192.35813575;0.20298388;0.086147199
1220;Dorobo;0.718635159;1566108.34356285;0.23312215;0.147325144
1223;BejaHadandawa;0.724300571;3587978.60493301;0.196604025;0.153468395
1224;Tugen;0.739288697;965404.956917352;0.194275911;0.154159989
1225;Burji;0.746738139;399193.651152773;0.184570267;0.111634663
1226;Marakwet;0.726284478;925610.943926468;0.223606422;0.289440307
1227;Luhya;0.739776007;1053002.03990911;0.206131909;0.211464996
1228;Luo;0.74876673;1153724.78843106;0.191005307;0.187509725
1229;Kikuyu;0.745030988;1125602.20028678;0.192402043;0.206585219
1230;Sengwer;0.735981948;978694.750965513;0.203261124;0.091092069
1231;Okiek;0.728641646;1011074.08666337;0.211341497;0.140655587
1232;Wata;0.696336563;637887.480805971;0.273729428;0.177673158
1233;Nandi;0.725017394;1060506.37299089;0.225574374;0.068735573
1234;ElMolo;0.724686184;718889.931785299;0.22092875;0.108432502
1235;Gabra;0.731273188;677730.947552867;0.2018174;0.105083788
1236;Sabaot;0.742906478;988307.670607287;0.193830673;0.078635511
1237;Rendille;0.740661471;754194.829844627;0.184604209;0.078007167
1238;Turkana;0.7445876;729928.565292161;0.189112321;0.133728916
1239;Pokot;0.737277216;905124.924901136;0.202773734;0.084973966
1240;Borana;0.747994308;668635.277512025;0.172659596;0.121850555
1242;Konso;0.73347381;409148.13410004;0.207202192;0.076231495
1243;Laka;0.748364474;2506715.66154843;0.193677515;0.142943939
1244;Ngambaye;0.744602422;2501074.36318763;0.192150608;0.063819632
1245;Kaba;0.745248498;2418755.10222824;0.201057496;0.116885201
1246;Bulala;0.728063749;2310800.51268356;0.222823365;0.132751309
1247;Kanembou;0.676690568;2649344.42372131;0.294916842;0.172498591
1248;Mbum;0.72458884;2814140.9555023;0.239032434;0.06811978
1249;TutsiHutu;0.713993802;1559132.8361652;0.253234049;0.226179955
1250;Yakoma;0.691588286;1890901.15088887;0.298110886;0.219707904
1252;Gbaya;0.733582937;2660192.75772222;0.221230598;0.116684538
1253;FulaniMbororo;0.706904844;2640536.72398743;0.248442646;0.153525375
1254;Wimbum;0.728729058;3094430.06016118;0.241072457;0.169048319
1255;Batie;0.734628626;3110722.54961286;0.231206701;0.132365206
1256;Hausa-Cameroon;0.745357001;2665519.48044313;0.194398893;0.105261933
1257;Kongo;0.735598226;3088230.79497355;0.220891455;0.126425832
1258;Barega;0.664841731;1829480.96606976;0.348737577;0.15900746
1259;Baluba;0.678229759;2514125.45352729;0.31890122;0.144516691
1262;Dioula;0.676397933;4749519.38694155;0.324918361;0.128174955
1266;Ewondo;0.631223084;3067509.1578099;0.400491956;0.131061263
1267;Eton;0.664852498;3056260.67993822;0.351594302;0.153948273
1268;Nuer;0.727501409;854249.681065806;0.224419732;0.132354327
1269;Shilook;0.72293458;750110.064165679;0.23881542;0.090215706
1270;Nyimang;0.713930043;1077987.66508216;0.251470315;0.09069261
1271;Sara-various;0.743631468;2341792.52090401;0.197530347;0.098231285
1272;CapeTown;0.754814968;9727217.0482029;0.15888345;0.102818042
1273;Venda;0.714509539;3629832.39550847;0.256142418;0.122722249
1274;!XunKxoe;0.687895134;4872698.34306463;0.361634356;0.278542494
1275;Xhosa;0.747806324;4700895.55978421;0.21480874;0.125612673
1276;Koma;0.698431238;2866145.19907576;0.27810777;0.108918877
1277;BetaIsrael;0.732108196;348224.535137682;0.19668748;0.11377161
1280;Temani;0.705267214;4662171.95975982;0.21306209;0.14869417
1281;Fulani-Nigeria;0.659566107;3049748.67577608;0.336298716;0.236665516
